_id,beachId,beachName,siteName,collectionDate,eColi,comments,geometry
1,1,Marie Curtis Park East Beach,29W,2023-09-10,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
2,1,Marie Curtis Park East Beach,32W,2023-09-10,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
3,1,Marie Curtis Park East Beach,33W,2023-09-10,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
4,1,Marie Curtis Park East Beach,31W,2023-09-10,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
5,1,Marie Curtis Park East Beach,30W,2023-09-10,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
6,2,Sunnyside Beach,23W,2023-09-10,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
7,2,Sunnyside Beach,17W,2023-09-10,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
8,2,Sunnyside Beach,20W,2023-09-10,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
9,2,Sunnyside Beach,21W,2023-09-10,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
10,2,Sunnyside Beach,18W,2023-09-10,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
11,2,Sunnyside Beach,22W,2023-09-10,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
12,2,Sunnyside Beach,19W,2023-09-10,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
13,1,Marie Curtis Park East Beach,29W,2023-09-09,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
14,1,Marie Curtis Park East Beach,32W,2023-09-09,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
15,1,Marie Curtis Park East Beach,33W,2023-09-09,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
16,1,Marie Curtis Park East Beach,31W,2023-09-09,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
17,1,Marie Curtis Park East Beach,30W,2023-09-09,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
18,2,Sunnyside Beach,23W,2023-09-09,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
