_id,beachId,beachName,siteName,collectionDate,eColi,comments,geometry
9389,1,Marie Curtis Park East Beach,30W,2016-07-12,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
9390,2,Sunnyside Beach,23W,2016-07-12,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
9391,2,Sunnyside Beach,17W,2016-07-12,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
9392,2,Sunnyside Beach,18W,2016-07-12,90,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
9393,2,Sunnyside Beach,22W,2016-07-12,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
9394,2,Sunnyside Beach,19W,2016-07-12,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
9395,2,Sunnyside Beach,20W,2016-07-12,40,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
9396,2,Sunnyside Beach,21W,2016-07-12,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
9397,1,Marie Curtis Park East Beach,29W,2016-07-11,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
9398,1,Marie Curtis Park East Beach,33W,2016-07-11,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
9399,1,Marie Curtis Park East Beach,32W,2016-07-11,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
9400,1,Marie Curtis Park East Beach,31W,2016-07-11,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
9401,1,Marie Curtis Park East Beach,30W,2016-07-11,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
9402,2,Sunnyside Beach,23W,2016-07-11,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
9403,2,Sunnyside Beach,17W,2016-07-11,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
9404,2,Sunnyside Beach,18W,2016-07-11,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
9405,2,Sunnyside Beach,22W,2016-07-11,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
9406,2,Sunnyside Beach,19W,2016-07-11,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
9407,2,Sunnyside Beach,20W,2016-07-11,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
9408,2,Sunnyside Beach,21W,2016-07-11,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
9409,1,Marie Curtis Park East Beach,29W,2016-07-10,60,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
9410,1,Marie Curtis Park East Beach,33W,2016-07-10,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
9411,1,Marie Curtis Park East Beach,32W,2016-07-10,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
9412,1,Marie Curtis Park East Beach,31W,2016-07-10,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
9413,1,Marie Curtis Park East Beach,30W,2016-07-10,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
9414,2,Sunnyside Beach,23W,2016-07-10,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
9415,2,Sunnyside Beach,17W,2016-07-10,40,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
9416,2,Sunnyside Beach,18W,2016-07-10,60,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
9417,2,Sunnyside Beach,22W,2016-07-10,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
9418,2,Sunnyside Beach,19W,2016-07-10,90,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
9419,2,Sunnyside Beach,20W,2016-07-10,60,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
9420,2,Sunnyside Beach,21W,2016-07-10,70,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
9421,1,Marie Curtis Park East Beach,29W,2016-07-09,150,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
9422,1,Marie Curtis Park East Beach,33W,2016-07-09,160,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
9423,1,Marie Curtis Park East Beach,32W,2016-07-09,160,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
9424,1,Marie Curtis Park East Beach,31W,2016-07-09,120,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
9425,1,Marie Curtis Park East Beach,30W,2016-07-09,130,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
9426,2,Sunnyside Beach,23W,2016-07-09,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
9427,2,Sunnyside Beach,17W,2016-07-09,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
9428,2,Sunnyside Beach,18W,2016-07-09,40,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
9429,2,Sunnyside Beach,22W,2016-07-09,290,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
9430,2,Sunnyside Beach,19W,2016-07-09,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
9431,2,Sunnyside Beach,20W,2016-07-09,100,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
9432,2,Sunnyside Beach,21W,2016-07-09,140,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
9433,1,Marie Curtis Park East Beach,29W,2016-07-08,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
9434,1,Marie Curtis Park East Beach,33W,2016-07-08,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
9435,1,Marie Curtis Park East Beach,32W,2016-07-08,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
9436,1,Marie Curtis Park East Beach,31W,2016-07-08,110,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
9437,1,Marie Curtis Park East Beach,30W,2016-07-08,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
9438,2,Sunnyside Beach,23W,2016-07-08,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
9439,2,Sunnyside Beach,17W,2016-07-08,50,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
9440,2,Sunnyside Beach,18W,2016-07-08,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
9441,2,Sunnyside Beach,22W,2016-07-08,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
9442,2,Sunnyside Beach,19W,2016-07-08,50,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
9443,2,Sunnyside Beach,20W,2016-07-08,50,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
9444,2,Sunnyside Beach,21W,2016-07-08,50,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
9445,1,Marie Curtis Park East Beach,29W,2016-07-07,50,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
9446,1,Marie Curtis Park East Beach,33W,2016-07-07,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
9447,1,Marie Curtis Park East Beach,32W,2016-07-07,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
9448,1,Marie Curtis Park East Beach,31W,2016-07-07,110,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
9449,1,Marie Curtis Park East Beach,30W,2016-07-07,90,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
9450,2,Sunnyside Beach,23W,2016-07-07,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
9451,2,Sunnyside Beach,17W,2016-07-07,90,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
9452,2,Sunnyside Beach,18W,2016-07-07,220,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
9453,2,Sunnyside Beach,22W,2016-07-07,90,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
9454,2,Sunnyside Beach,19W,2016-07-07,60,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
9455,2,Sunnyside Beach,20W,2016-07-07,140,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
9456,2,Sunnyside Beach,21W,2016-07-07,40,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
9457,1,Marie Curtis Park East Beach,29W,2016-07-06,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
9458,1,Marie Curtis Park East Beach,33W,2016-07-06,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
9459,1,Marie Curtis Park East Beach,32W,2016-07-06,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
9460,1,Marie Curtis Park East Beach,31W,2016-07-06,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
9461,1,Marie Curtis Park East Beach,30W,2016-07-06,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
9462,2,Sunnyside Beach,23W,2016-07-06,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
9463,2,Sunnyside Beach,17W,2016-07-06,90,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
9464,2,Sunnyside Beach,18W,2016-07-06,100,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
9465,2,Sunnyside Beach,22W,2016-07-06,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
9466,2,Sunnyside Beach,19W,2016-07-06,80,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
9467,2,Sunnyside Beach,20W,2016-07-06,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
9468,2,Sunnyside Beach,21W,2016-07-06,90,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
9469,1,Marie Curtis Park East Beach,29W,2016-07-05,110,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
9470,1,Marie Curtis Park East Beach,33W,2016-07-05,180,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
9471,1,Marie Curtis Park East Beach,32W,2016-07-05,40,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
9472,1,Marie Curtis Park East Beach,31W,2016-07-05,220,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
9473,1,Marie Curtis Park East Beach,30W,2016-07-05,150,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
9474,2,Sunnyside Beach,23W,2016-07-05,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
9475,2,Sunnyside Beach,17W,2016-07-05,50,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
9476,2,Sunnyside Beach,18W,2016-07-05,90,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
9477,2,Sunnyside Beach,22W,2016-07-05,300,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
9478,2,Sunnyside Beach,19W,2016-07-05,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
9479,2,Sunnyside Beach,20W,2016-07-05,50,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
9480,2,Sunnyside Beach,21W,2016-07-05,180,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
9481,1,Marie Curtis Park East Beach,29W,2016-07-04,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
9482,1,Marie Curtis Park East Beach,33W,2016-07-04,70,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
9483,1,Marie Curtis Park East Beach,32W,2016-07-04,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
9484,1,Marie Curtis Park East Beach,31W,2016-07-04,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
9485,1,Marie Curtis Park East Beach,30W,2016-07-04,40,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
